x_ngram,count
x72_x203_x167,724
x257_x258_x7,723
x73_x74_x158,722
x49_x5_x3,721
x76_x22_x6,720
x18_x16_x17,718
x65_x239_x43,717
x30_x24_x206,716
x176_x158_x73,712
x121_x18_x8,711
x16_x52_x73,709
x176_x158_x203,707
x121_x170_x9,706
x163_x121_x170,706
x30_x123_x131,705
x97_x22_x6,704
x9_x105_x154,704
x20_x6_x8,701
x11_x33_x250,699
x125_x15_x9,696
x7_x8_x47,695
x96_x18_x8,693
x123_x124_x32,692
x73_x72_x203,691
x30_x123_x124,690
x30_x123_x74,690
x121_x170_x14,689
x11_x21_x58,688
x247_x257_x258,688
x64_x20_x4,687
x199_x142_x25,685
x19_x69_x22,685
x20_x6_x19,683
x173_x37_x7,681
x31_x192_x3,678
x7_x19_x69,678
x199_x199_x142,676
x11_x21_x239,675
x105_x146_x192,673
x14_x183_x17,671
x181_x182_x167,669
x183_x17_x18,669
x20_x4_x5,666
x37_x7_x16,666
x37_x8_x5,665
x5_x3_x66,665
x10_x105_x146,664
x15_x9_x105,664
x317_x304_x60,664
x68_x78_x76,664
x11_x33_x34,662
x25_x7_x16,662
x175_x173_x37,661
x64_x69_x22,661
x14_x183_x176,660
x16_x52_x203,659
x154_x186_x32,657
x95_x154_x163,657
x87_x60_x4,656
x10_x11_x38,653
x207_x199_x199,653
x55_x175_x173,653
x8_x137_x114,653
x22_x4_x14,652
x29_x11_x21,652
x158_x181_x182,651
x10_x55_x175,648
x15_x95_x146,648
x15_x95_x96,647
x33_x250_x32,647
x121_x18_x16,646
x17_x18_x30,644
x25_x8_x9,644
x9_x12_x183,643
x18_x8_x14,642
x12_x89_x87,640
x59_x174_x29,640
x12_x15_x95,638
x3_x6_x19,638
x52_x73_x72,638
x6_x16_x17,637
x32_x12_x15,633
x167_x10_x12,630
x154_x163_x121,629
x22_x64_x20,629
x154_x163_x163,628
x29_x11_x1,628
x5_x3_x64,625
x87_x88_x43,625
x186_x32_x55,624
x199_x199_x182,623
x12_x183_x31,622
x19_x20_x4,622
x78_x76_x22,622
x11_x3_x61,620
x137_x114_x25,619
x183_x176_x163,615
x41_x65_x65,614
x43_x49_x14,614
x13_x8_x83,612
x113_x20_x6,611
x6_x7_x19,610
x176_x121_x191,609
x208_x203_x167,609
x15_x9_x55,608
x60_x6_x16,606
x62_x167_x11,603
x15_x47_x36,602
x17_x191_x17,602
x158_x181_x199,600
x214_x6_x7,600
x186_x32_x12,599
x146_x32_x12,598
x29_x11_x42,598
x32_x11_x1,598
x24_x206_x62,597
x87_x317_x304,596
x8_x95_x154,595
x154_x121_x18,593
x273_x258_x7,591
x84_x87_x317,589
x142_x101_x9,588
x33_x34_x18,588
x123_x131_x18,587
x181_x199_x199,586
x105_x96_x170,585
x4_x5_x33,583
x43_x49_x9,582
x105_x154_x186,581
x65_x65_x239,581
x83_x59_x97,579
x35_x36_x49,578
x16_x31_x161,577
x199_x199_x198,577
x6_x16_x31,573
x36_x49_x14,572
x31_x192_x1,568
x74_x186_x32,568
x19_x227_x43,566
x10_x12_x113,564
x58_x2_x1,564
x216_x37_x7,563
x7_x247_x248,563
x14_x15_x83,560
x8_x14_x113,558
x8_x9_x26,556
x12_x113_x20,553
x28_x6_x7,550
x30_x123_x72,550
x18_x16_x31,548
x1_x136_x15,548
x174_x29_x55,547
x21_x58_x29,547
x5_x1_x29,547
x29_x55_x59,546
x4_x47_x36,546
x105_x154_x163,545
x9_x12_x89,545
x20_x4_x9,544
x13_x30_x24,539
x17_x191_x31,539
x3_x66_x17,538
x38_x39_x199,537
x10_x105_x154,535
x12_x13_x19,535
x178_x59_x60,535
x10_x12_x183,534
x17_x170_x95,533
x265_x87_x60,533
x15_x95_x154,532
x81_x41_x65,532
x95_x154_x121,532
x239_x43_x49,531
x64_x227_x43,530
x7_x19_x104,530
x24_x25_x8,529
x58_x29_x10,529
x9_x11_x33,529
x176_x186_x125,524
x11_x38_x39,523
x12_x183_x17,523
x139_x138_x139,523
x199_x198_x74,523
x88_x43_x49,522
x15_x83_x59,520
x55_x59_x281,520
x138_x139_x138,519
x176_x158_x181,519
x47_x36_x49,519
x7_x247_x272,519
x13_x8_x95,518
x23_x24_x25,517
x31_x161_x114,517
x96_x170_x14,515
x5_x33_x250,514
x139_x114_x25,513
x33_x78_x76,512
x176_x121_x170,511
x32_x11_x42,510
x3_x64_x69,510
x12_x13_x30,509
x163_x158_x181,509
x14_x113_x20,508
x14_x23_x24,508
x74_x158_x203,508
x170_x5_x3,506
x54_x17_x18,506
x240_x214_x6,505
x13_x16_x176,504
x21_x68_x78,504
x250_x192_x3,503
x60_x265_x87,502
x153_x154_x163,501
x19_x104_x29,501
x170_x9_x11,500
x5_x21_x239,500
x11_x33_x78,499
x89_x87_x60,499
x101_x9_x12,498
x17_x191_x176,498
x25_x7_x30,498
x304_x60_x6,495
x73_x131_x18,495
x182_x139_x138,494
x29_x12_x15,493
x6_x30_x24,493
x199_x142_x101,490
x207_x182_x139,490
x247_x248_x177,490
x9_x105_x208,488
x11_x42_x240,487
x146_x32_x11,487
x14_x15_x47,487
x55_x59_x234,487
x6_x84_x87,487
x170_x9_x105,486
x207_x199_x198,486
x22_x64_x69,485
x11_x33_x168,484
x170_x95_x154,484
x138_x139_x114,483
x16_x31_x153,483
x207_x182_x167,483
x58_x2_x21,481
x136_x15_x9,478
x191_x31_x32,476
x207_x142_x101,476
x6_x30_x62,476
x75_x253_x6,476
x163_x158_x203,475
x198_x124_x32,475
x9_x12_x113,475
x272_x273_x258,473
x13_x7_x19,471
x161_x114_x25,471
x2_x1_x29,471
x9_x55_x175,471
x33_x168_x163,469
x11_x42_x274,468
x42_x43_x190,468
x146_x178_x59,467
x167_x55_x59,467
x49_x14_x15,465
x105_x154_x121,464
x207_x199_x142,464
x121_x191_x31,463
x198_x74_x163,463
x49_x9_x11,463
x30_x207_x198,462
x24_x25_x30,461
x104_x29_x10,460
x146_x192_x1,460
x66_x17_x18,460
x168_x163_x163,459
x18_x30_x123,459
x190_x17_x18,459
x78_x253_x6,459
x123_x74_x158,458
x60_x6_x30,458
x20_x4_x14,457
x59_x174_x136,457
x95_x146_x178,455
x18_x8_x95,453
x6_x7_x84,451
x21_x65_x239,450
x186_x125_x15,449
x14_x13_x19,447
x186_x153_x154,447
x154_x163_x186,446
x191_x176_x163,446
x182_x63_x13,445
x69_x22_x64,445
x95_x146_x153,445
x142_x25_x8,444
x31_x178_x59,444
x13_x19_x20,443
x49_x47_x36,443
x177_x10_x10,442
x95_x154_x186,442
x121_x191_x176,441
x170_x95_x96,440
x186_x178_x59,440
x69_x22_x4,440
x69_x65_x22,440
x62_x80_x3,438
x10_x55_x224,435
x146_x125_x13,435
x83_x175_x173,435
x250_x32_x10,434
x25_x30_x24,434
x3_x265_x87,434
x8_x137_x140,434
x100_x25_x7,432
x59_x60_x66,431
x158_x53_x25,430
x66_x255_x196,430
x10_x12_x89,429
x244_x43_x37,429
x11_x38_x100,427
x123_x72_x73,426
x12_x15_x47,426
x95_x146_x125,426
x136_x15_x14,425
x158_x73_x131,425
x74_x121_x18,425
x80_x3_x6,423
x8_x83_x175,422
x170_x95_x146,421
x247_x257_x320,419
x24_x25_x16,418
x15_x9_x35,417
x30_x24_x54,417
x140_x199_x199,416
x114_x101_x9,414
x59_x60_x64,414
x131_x170_x9,413
x146_x153_x154,413
x43_x404_x87,413
x230_x37_x7,412
x42_x240_x214,412
x6_x19_x69,412
x84_x87_x88,412
x3_x4_x47,411
x154_x121_x170,409
x113_x104_x2,408
x137_x140_x199,408
x26_x138_x167,408
x6_x30_x207,408
x16_x31_x178,407
x16_x52_x181,407
x19_x104_x2,407
x6_x8_x83,407
x7_x19_x227,407
x167_x11_x1,406
x181_x198_x74,406
x258_x8_x9,405
x176_x163_x158,404
x97_x65_x65,404
x198_x74_x186,403
x43_x37_x16,403
x97_x239_x43,403
x197_x146_x32,402
x168_x121_x18,400
x19_x20_x64,400
x62_x139_x138,400
x37_x7_x30,397
x137_x138_x80,396
x10_x10_x26,395
x13_x7_x84,395
x404_x87_x60,395
x101_x14_x13,394
x18_x7_x30,394
x9_x12_x23,394
x10_x55_x211,393
x169_x253_x6,393
x2_x21_x58,393
x215_x216_x37,392
x52_x73_x74,392
x7_x8_x179,392
x82_x5_x3,392
x105_x146_x125,391
x105_x208_x203,391
x158_x181_x198,391
x43_x190_x17,389
x59_x97_x239,389
x154_x158_x73,388
x11_x21_x68,387
x88_x43_x404,387
x199_x198_x124,386
